index	word	idf	weight
441	115mb	9.17382	0.05489846
442	115sqw	8.48067	2.22397372
443	115xo	7.42831	4.45290328
444	115网盘	7.42831	0.40925490
445	116	7.28521	-0.04455593
446	116k	9.28106	-0.02387105
447	116mb	9.33933	-0.19034509
448	117	7.02482	-0.86967625
449	117mb	8.70806	0.13463761
450	118	6.77747	0.75501169
451	1180	9.24402	-0.15833109
452	1183	9.78562	0.02950883
453	1185	9.46717	-0.81295077
454	118k	9.42272	-0.23780678
455	118mb	9.51369	-2.99153444
456	119	7.05899	-0.76682080
457	1190	9.56248	-0.18286662
458	119mb	9.28106	0.25500718
459	11g	8.83252	-0.47605358
460	11gb	8.70806	1.67822253
461	11mb	9.61377	-1.59297506
462	11p	7.42831	0.03568885
463	11pｋｏｕ９７	8.90755	0.07914444
464	11万	8.72957	-0.47656205
465	11个	7.22308	-0.15148842
466	11天	9.01725	0.54217861
467	11年	7.47061	-0.09001756
468	11日	6.95241	0.35674383
469	11月	5.07020	0.36665962
470	11月1日	8.38382	0.56478482
471	11月2日	9.15701	-0.01872986
472	11月3日	9.12422	-0.14506261
473	11月4日	9.26237	-0.34012013
474	11月5日	8.93387	0.67884024
475	11月6日	8.80871	-1.13728444
476	11月7日	8.40717	0.61346354
477	11月8日	8.52397	-0.16774290
478	11月9日	8.80871	0.30224336
479	11次	8.97469	-0.39617696
480	12	3.50248	1.15371073
481	120	5.30545	1.03264195
482	1200	6.84448	-0.51708547
483	12000	8.28154	0.15527269
484	12000元	9.31953	-0.72159064
485	1200px	9.20831	-0.29731554
486	1200万	8.24072	0.58543877
487	1200元	7.94805	-0.17292017
488	1205	9.69601	0.25355922
489	120hk	9.51369	0.09805361
490	120k	9.33933	-0.78227800
491	120mb	9.24402	0.00155676
492	120min	8.56923	5.36969646
493	120p	9.38016	0.45864270
494	120px	9.07697	0.31525937
495	120万	8.23408	-0.81704761
496	120元	8.34608	-0.31408211
497	120天	9.44469	-0.55330703
498	121	7.23033	1.80761943
499	121255	9.51369	0.09805361
500	121mb	9.17382	0.50396329
501	122	7.06721	-2.09729283
502	122144	9.44469	0.23174465
503	122k	9.22600	-0.41093074
504	122mb	9.28106	0.01723826
505	123	6.78211	2.46407738
506	12306	9.07697	-0.50059062
507	123357	9.61377	0.09893302
508	1234	7.99386	1.74998515
509	12345	9.22600	0.26698513
510	123456	9.26237	-1.21736913
511	1234zy	8.42304	3.79819928
512	123mb	9.51369	0.64553730
513	124	7.34599	-0.74491146
514	124444	9.56248	0.10625187
515	124k	7.95304	1.04007581
516	125	6.85276	-0.29608698
517	1250	9.42272	-0.04251486
518	12539	8.76272	-1.33774128
519	125mb	8.86933	1.08210212
520	126	6.85777	0.99309084
521	126222	9.66784	0.09289099
522	126mb	9.04666	0.24143507
523	127	7.00331	-0.64882255
524	128	6.93600	1.27993302
525	1280	7.77909	-1.65483946
526	1280p	9.53778	-0.00591183
527	1280px	9.33933	-1.65245626
528	1280x720	9.01725	0.10526537
529	1280ｘ720	7.83971	1.25980071
530	128899	9.61377	0.09863045
531	128999	9.44469	0.19541571
532	128gb	9.31953	0.11287654
533	128kb	10.20683	0.77521961
534	128mb	8.97469	-0.78166221
535	129	7.32443	0.15501721
536	129129	9.61377	0.09832787
537	129mb	8.92062	1.07339559
538	12cm	8.97469	-0.85643509
539	12g	8.78545	-0.86911728
540	12gb	8.90755	0.47072172
541	12k	7.88538	0.39936116
542	12kb	8.03642	0.32525308
543	12kk	9.66784	0.09289099
544	12mb	9.61377	0.24800338
545	12p	7.40781	0.41378393
546	12pｋｏｕ９７	9.31953	0.00823112
547	12v	9.46717	-0.29661103
548	12万	8.03100	-0.47066156
549	12个	6.43681	0.08869847
550	12元	8.82054	-0.10691719
551	12天	8.85691	-0.38723170
552	12年	7.26994	-2.42107872
553	12日	6.65831	1.22277552
554	12月	5.25000	2.93590761
555	12月1日	8.20793	0.93847869
556	12月2日	8.88191	-0.12180251
557	12月3日	8.89465	1.62527258
558	12月4日	9.09247	0.72093105
559	12月5日	8.60697	1.06449820
560	12月6日	8.82054	0.25443977
561	12月7日	8.49777	1.39988456
562	12月8日	8.96090	0.12338956
563	12月9日	8.64619	0.79910017
564	12次	8.98868	-0.17331898
565	13	3.95337	-0.50886066
566	130	6.22316	-0.14286675
567	1300	7.69453	0.92582765
568	13000	9.19091	0.50909216
569	1300万	8.13937	-0.82374215
570	130万	9.42272	-0.58691622
571	130元	9.42272	-0.13721041
572	131	7.26490	-1.32796895
573	1314	9.09247	-1.02963215
574	131444	9.78562	0.07892316
575	132	7.03077	0.19831443
576	132456	9.56248	0.09259529
577	132mb	9.31953	0.06492404
578	133	7.13106	0.28786874
579	133万	6.32871	-0.55541897
580	134	6.86448	1.10833767
581	13444	9.46717	0.24211955
582	134999	9.66784	0.09289099
583	135	6.72048	0.22830406
584	136	7.17371	0.99963035
585	136b	9.26237	0.07239168
586	137	7.07549	0.47768143
587	137111	9.51369	0.11059171
588	1377688	9.66784	0.09961245
589	138	7.07549	-2.29449226
590	1380	9.03185	0.06377007
591	1380元	9.19091	-0.16311082
592	138222	9.61377	0.08984458
593	138888	9.64044	0.08993782
594	139	7.15779	-2.32720812
595	139666	9.99326	0.08206494
596	139mb	9.42272	0.18358285
597	13cm	8.63624	-0.43171801
598	13g	8.60697	-0.22824825
599	13gb	8.90755	1.75097580
600	13kb	9.53778	1.18000890
601	13p	7.76656	0.41005947
602	13万	8.40717	0.80846361
603	13个	7.56438	-0.85682162
604	13天	9.30011	0.24541133
605	13年	7.63096	1.31938396
606	13日	6.39279	-0.80520812
607	13次	9.04666	0.05739562
608	13点	9.33933	0.33203434
609	14	4.08226	1.16181904
610	140	6.52273	-1.55039210
611	1400	7.97324	0.71359599
612	14000	9.00286	0.41208961
613	1400万	8.96090	-0.55477339
614	141	7.60238	-2.04904962
615	142	7.44022	-0.43152411
616	1423	9.99326	0.28481148
617	143	7.49245	-0.55841095
618	144	6.96536	0.31643536
619	1440	9.19091	0.03634684
620	144177	9.61377	0.09267407
621	144b	8.36855	0.03267743
622	144bytes	9.58780	0.08441260
623	144mb	9.38016	0.04026717
624	145	6.72633	-1.55077578
625	146	7.63459	-0.67749015
626	1462	9.38016	-0.76403207
627	146mb	9.53778	1.45019914
628	147	7.27755	0.59086778
629	148	7.06927	-0.44763928
630	148678	9.99326	0.08206494
631	148888	9.53778	0.10791039
632	148b	8.19511	0.05003971
633	148bytes	9.17382	0.00203241
634	149	7.49878	2.61848572
635	14cm	8.97469	0.02073817
636	14g	9.30011	0.76384110
637	14gb	9.40121	1.21179197
638	14k	7.77489	0.25297716
639	14kb	9.40121	1.34028080
640	14p	7.58840	1.23309663
641	14pｋｏｕ９７	9.35954	0.00127114
642	14万	8.26775	0.02222028
643	14个	7.58493	-0.02297545
644	14元	8.92062	0.32732898
645	14天	8.39154	-0.21961085
646	14岁	6.95425	-0.97468974
647	14年	7.56778	-2.27490995
648	14日	6.81361	-1.43312854
649	14次	9.19091	-0.76699294
650	15	3.64076	0.50210324
651	150	5.54745	0.29804841
652	1500	6.66795	-1.12444421
653	15000	8.12146	-0.59199213
654	150000元	9.07697	-0.01522817
655	15000元	9.01725	-0.09067402
656	1500fj	7.82201	0.79917958
657	1500万	8.00433	0.13776796
658	1500元	7.98350	-0.47707797
659	1500次	9.04666	0.09625346
660	15016	9.61377	0.10398167
661	1504	10.16031	0.82722700
662	15070	9.22600	-0.41599628
663	1509	9.99326	1.62378767
664	150cm	9.30011	-1.01612153
665	150p	9.44469	-1.84886734
